[ 0.88047567]  [ 6.52180595]
[ 121.24399825]  [ 367.85099565]
[ 121.93393401]  [ 369.75438872]
[ 123.08044943]  [ 373.51841602]
[ 124.08416098]  [ 376.40208326]
[ 124.84179423]  [ 378.71172117]
[ 126.21149532]  [ 382.93739033]
[ 126.80464903]  [ 384.53873915]
[ 127.96303012]  [ 387.77587748]
[ 128.97347031]  [ 390.89661746]
[ 129.95500829]  [ 393.58906461]
[ 131.01772477]  [ 396.99681427]
[ 132.29839196]  [ 400.90831694]
[ 132.92763277]  [ 402.67394355]
[ 133.71170655]  [ 404.94629329]
[ 134.95027387]  [ 409.04744101]
[ 136.29656041]  [ 412.85249861]
[ 137.10969002]  [ 415.2497866]
[ 138.0745744]  [ 418.16938246]
[ 138.90079336]  [ 420.84429856]
[ 140.22726357]  [ 424.73764433]
[ 141.15330724]  [ 427.10763921]
[ 142.14745661]  [ 430.80441147]
[ 142.88085576]  [ 432.59852798]
[ 143.90250074]  [ 435.25930798]
[ 144.97646592]  [ 438.77539895]
[ 146.28698253]  [ 442.84906782]
[ 146.90617503]  [ 444.97326606]
[ 148.24885237]  [ 448.7005509]
[ 149.00648125]  [ 451.18586733]
[ 150.00517655]  [ 454.01815198]
[ 151.24847531]  [ 457.7313706]
[ 152.13425199]  [ 460.11079845]
[ 153.00318455]  [ 462.76736855]
[ 154.30996376]  [ 467.00475472]
[ 154.8343096]  [ 468.09388444]
[ 155.72790621]  [ 471.10706728]
[ 156.87345338]  [ 474.70184986]
[ 157.78121272]  [ 477.41161834]
[ 158.93120076]  [ 480.62488008]
[ 159.85575911]  [ 483.4251287]
[ 160.8534217]  [ 486.24146455]
[ 162.09012329]  [ 490.28146612]
[ 163.01128062]  [ 492.95603072]
[ 164.20815582]  [ 496.62984186]
[ 165.01137281]  [ 498.80399914]
[ 165.85968545]  [ 501.67788486]
[ 167.08849485]  [ 505.29220611]
[ 168.20445011]  [ 508.60975556]
[ 168.90098233]  [ 510.77345174]
[ 170.30594078]  [ 514.45196222]
[ 170.94500104]  [ 516.92097899]
[ 171.65263892]  [ 518.79508832]
[ 173.24811151]  [ 523.91303004]
[ 174.33795016]  [ 527.36265135]
[ 175.14937674]  [ 529.63086342]
[ 176.16024458]  [ 532.46420277]
[ 177.04488535]  [ 535.15224709]
[ 177.9962078]  [ 538.38121447]
[ 179.18319193]  [ 541.07880093]
[ 180.09307654]  [ 544.43293634]
[ 180.98962585]  [ 546.79682391]
[ 182.01903002]  [ 549.92549105]
[ 182.82805107]  [ 552.56248044]
[ 184.21329559]  [ 556.94488338]
[ 185.25549857]  [ 559.88486487]
[ 185.95590798]  [ 561.64689078]
[ 187.08296005]  [ 565.46414664]
[ 187.81183946]  [ 567.40406723]
[ 188.99667019]  [ 570.95357321]
[ 189.99843004]  [ 573.70920615]
[ 190.92198299]  [ 576.80612394]
[ 191.90783069]  [ 579.89246718]
[ 192.98169103]  [ 583.12904668]
[ 194.0861725]  [ 586.26026035]
[ 194.85952543]  [ 588.25056411]
[ 195.99320425]  [ 591.9300916]
[ 196.67251995]  [ 594.01526658]
[ 197.47887876]  [ 596.63616771]
[ 199.23454493]  [ 601.95343434]
[ 199.84163265]  [ 603.77464744]
[ 200.82356894]  [ 606.36012496]
[ 201.77298468]  [ 609.16196212]
[ 202.91874942]  [ 612.61202049]
[ 204.25158509]  [ 616.87515026]
[ 205.09732459]  [ 619.40591252]
[ 205.58909915]  [ 620.99045661]
[ 206.90113706]  [ 624.80211145]
[ 208.09010138]  [ 628.0299499]
[ 209.42080543]  [ 632.30707342]
[ 209.99404607]  [ 634.05510742]
[ 211.0956851]  [ 637.40208217]
[ 212.36652462]  [ 641.19961921]
[ 212.87704475]  [ 642.71377474]
[ 214.1249828]  [ 646.28091048]
[ 215.1199353]  [ 649.18319104]
[ 215.84703053]  [ 651.85398307]
[ 217.12746671]  [ 655.34260349]
[ 218.17777442]  [ 658.5428973]
[ 219.03836875]  [ 661.11429064]
[ 220.05379329]  [ 664.0846781]
[ 220.91601194]  [ 666.39831295]
[ 222.14454244]  [ 670.510424]
[ 223.05969513]  [ 673.22038502]
[ 223.8897143]  [ 675.30000127]
[ 225.26333778]  [ 679.9083273]
[ 225.83460705]  [ 681.30989783]
[ 227.12189422]  [ 685.08618991]
[ 227.99872615]  [ 688.21811866]
[ 228.75805074]  [ 690.3538974]
[ 229.95771456]  [ 693.66691959]
[ 231.02293055]  [ 696.7403149]
[ 231.88822746]  [ 699.84682513]
[ 232.97227341]  [ 702.63029759]
[ 233.89703385]  [ 705.26853115]
[ 234.48878962]  [ 707.42003877]
[ 236.07326492]  [ 712.57196735]
[ 236.94751338]  [ 714.78427693]
[ 238.05541084]  [ 718.35964058]
[ 238.88829772]  [ 720.57578957]
[ 239.77452131]  [ 723.15048786]
[ 241.14530459]  [ 727.39509467]
[ 242.10870789]  [ 730.4258199]
[ 243.16156204]  [ 733.45782959]
[ 244.11909667]  [ 736.08216732]
[ 244.90159043]  [ 739.09928963]
[ 246.36304626]  [ 743.19667597]
[ 246.92890932]  [ 744.88432246]
[ 248.00411049]  [ 747.99205365]
[ 248.92542623]  [ 750.60252634]
[ 249.88527103]  [ 753.4875807]
[ 250.70668755]  [ 755.73939462]
[ 251.87305616]  [ 759.73170144]
[ 253.39297526]  [ 763.86880195]
[ 254.32992723]  [ 767.1203109]
[ 254.93503181]  [ 768.89848851]
[ 255.91645277]  [ 771.68816322]
[ 256.9114438]  [ 774.72023802]
[ 257.95834482]  [ 777.81833019]
[ 258.8604868]  [ 780.44769279]
[ 260.08220855]  [ 784.22823215]
[ 261.11436035]  [ 787.11474872]
[ 262.06026871]  [ 790.33980367]
[ 262.95640104]  [ 792.81194046]
[ 263.80027356]  [ 795.64505464]
[ 264.94288293]  [ 798.63008408]
[ 265.92605534]  [ 802.00615171]
[ 266.96205519]  [ 805.21957501]
[ 267.89227914]  [ 807.93055259]
[ 268.77702187]  [ 810.11819922]
[ 269.8979001]  [ 813.54097077]
[ 270.49309491]  [ 815.75633918]
[ 271.75597843]  [ 819.14376202]
[ 273.14549507]  [ 823.39694642]
[ 274.31481097]  [ 826.86803795]
[ 275.1268062]  [ 829.2680492]
[ 275.90895529]  [ 831.22738553]
[ 276.78155923]  [ 834.19042762]
[ 277.91679588]  [ 837.95709837]
[ 278.97591482]  [ 841.16161232]
[ 280.41400188]  [ 845.22121383]
[ 280.64348635]  [ 845.78526901]
[ 281.67798739]  [ 849.02859166]
[ 283.02529223]  [ 853.2540369]
[ 284.02480622]  [ 856.08947441]
[ 285.11223869]  [ 859.13266401]
[ 286.00948704]  [ 861.93762509]
[ 287.2839318]  [ 865.74885785]
[ 287.3968449]  [ 865.99304391]
[ 289.10610482]  [ 871.49944487]
[ 289.99999729]  [ 874.16884949]
[ 290.73434404]  [ 876.47307568]
[ 291.75389202]  [ 879.26243271]
[ 292.91622027]  [ 882.86199375]
[ 293.80016741]  [ 885.76237376]
[ 295.02926922]  [ 889.26202005]
[ 295.90625456]  [ 891.82714503]
[ 296.94056188]  [ 894.83239623]
[ 297.95318383]  [ 897.48319476]
[ 298.58741501]  [ 899.70862771]
[ 300.32307022]  [ 905.05998292]
[ 301.04000982]  [ 907.45181109]
[ 302.15918406]  [ 910.58588499]
[ 303.02992862]  [ 913.11374112]
[ 303.95803271]  [ 915.90680545]
[ 304.78453169]  [ 918.18271485]
[ 305.97657317]  [ 921.99075444]
[ 307.04135992]  [ 925.04851872]
[ 307.74799897]  [ 927.32938558]
[ 308.82683554]  [ 930.60792458]
[ 309.79952409]  [ 933.32048149]
[ 310.79204058]  [ 936.34115045]
[ 312.19178139]  [ 940.59523953]
[ 313.33985792]  [ 943.91673081]
[ 314.0623838]  [ 946.26732282]
[ 315.12531663]  [ 949.26017968]
[ 316.24012179]  [ 952.72185974]
[ 316.80796455]  [ 954.53510718]
[ 317.80460985]  [ 957.25443463]
[ 318.55334312]  [ 959.67511873]
[ 319.98922141]  [ 963.69095196]
[ 321.0104093]  [ 966.96324849]
[ 322.02830909]  [ 970.0877934]
[ 323.15857551]  [ 973.42705615]
[ 323.87256392]  [ 975.33326115]
[ 325.14013542]  [ 979.32820324]
[ 325.95158628]  [ 982.07692212]
[ 327.01195305]  [ 985.24210017]
[ 327.906855]  [ 987.7478565]
[ 329.31998401]  [ 991.8254094]
[ 329.98694951]  [ 993.81722728]
[ 330.94367145]  [ 997.25640052]
[ 331.61519795]  [ 998.86759265]
[ 333.24814605]  [ 1003.74490989]
[ 333.91835931]  [ 1005.93627135]
[ 334.89982975]  [ 1008.83088752]
[ 335.82753071]  [ 1011.58764464]
[ 336.79347904]  [ 1014.292981]
[ 337.96057918]  [ 1018.22952926]
[ 339.1614908]  [ 1021.49875652]
[ 340.18529452]  [ 1024.65669457]
[ 341.04981448]  [ 1027.25276783]
[ 341.67555032]  [ 1028.93463663]
[ 342.90009767]  [ 1032.63581552]
[ 343.76108175]  [ 1035.50041386]
[ 344.90449959]  [ 1038.99439406]
[ 346.12269232]  [ 1042.57270739]
[ 347.15964321]  [ 1045.80039663]
[ 347.72086907]  [ 1047.13868676]
[ 348.77393122]  [ 1050.67460826]
[ 349.93732158]  [ 1053.56773846]
[ 350.92061108]  [ 1056.53653639]
[ 352.28905088]  [ 1060.95272804]
[ 353.27337956]  [ 1063.84697463]
[ 354.12320913]  [ 1066.28318943]
[ 354.9013528]  [ 1068.52617534]
[ 355.80238029]  [ 1071.56410986]
[ 357.11795457]  [ 1075.59696437]
[ 357.87643025]  [ 1077.58180955]
[ 358.97544518]  [ 1080.73976974]
[ 359.84041092]  [ 1083.95665487]
[ 360.87481312]  [ 1086.6938075]
[ 361.83530525]  [ 1089.59836075]
[ 363.05306758]  [ 1093.62647956]
[ 364.30869141]  [ 1096.88796957]
[ 364.36675045]  [ 1096.86390434]
[ 365.61350677]  [ 1100.70130403]
[ 366.72254347]  [ 1103.85427116]
[ 367.73518042]  [ 1107.25531635]
[ 368.98504123]  [ 1110.98178772]
[ 369.91160583]  [ 1113.62760155]
[ 370.6873669]  [ 1115.84345894]
[ 371.7008412]  [ 1119.04840472]
[ 373.18887611]  [ 1123.47973034]
[ 373.84235596]  [ 1125.780356]
[ 375.04167404]  [ 1129.68643487]
[ 376.29649126]  [ 1132.74619852]
[ 377.04839393]  [ 1135.4637225]
[ 378.07722689]  [ 1138.04306102]
[ 378.87406369]  [ 1140.86340817]
[ 379.82788873]  [ 1143.3738216]
[ 381.13474885]  [ 1147.32281722]
[ 382.04707414]  [ 1150.06058433]
[ 383.29939684]  [ 1153.8659455]
[ 383.79588666]  [ 1155.53471247]
[ 384.97140684]  [ 1158.8998124]
[ 385.83337482]  [ 1161.62568677]
[ 387.06010856]  [ 1165.00175213]
[ 388.01663525]  [ 1167.96385526]
[ 388.92813697]  [ 1170.6637517]
[ 390.09298567]  [ 1174.33378693]
[ 390.90595632]  [ 1176.84577663]
[ 392.3216968]  [ 1181.04495627]
[ 392.82711916]  [ 1182.27868551]
[ 394.10798644]  [ 1186.46686954]
[ 394.91696172]  [ 1188.09545058]
[ 396.39420087]  [ 1193.36959975]
[ 396.80906949]  [ 1194.52975329]
[ 397.83318771]  [ 1197.60826305]
[ 399.11651642]  [ 1201.10687497]
[ 399.79811091]  [ 1203.37903707]
[ 401.20865772]  [ 1207.70759897]
[ 402.1051294]  [ 1210.43035353]
[ 402.93330293]  [ 1212.57324098]
[ 403.91513726]  [ 1215.42314221]
[ 404.93805762]  [ 1218.67141313]
[ 406.18746745]  [ 1222.60460708]
[ 407.05561447]  [ 1225.16392359]
[ 407.93643294]  [ 1228.04023705]
[ 409.093488]  [ 1231.13060288]
[ 409.85537083]  [ 1232.99658135]
[ 410.98000967]  [ 1236.66633862]
[ 411.78018161]  [ 1239.23309432]
[ 412.66403261]  [ 1241.93316615]
[ 414.34552392]  [ 1247.21154895]
[ 414.95260341]  [ 1249.0412323]
[ 415.84229537]  [ 1251.22658768]
[ 416.99156452]  [ 1254.96798305]
[ 417.80892621]  [ 1257.3028725]
[ 418.68966702]  [ 1259.74214473]
[ 420.20512389]  [ 1265.07405556]
[ 421.35308218]  [ 1267.92888618]
[ 421.9984284]  [ 1269.73668331]
[ 422.90762799]  [ 1272.98654602]
[ 423.69859838]  [ 1275.11002819]
[ 424.95196608]  [ 1279.14850976]
[ 425.89197324]  [ 1281.7744916]
[ 427.15788686]  [ 1285.28547246]
[ 428.19281324]  [ 1288.66967151]
[ 429.10368955]  [ 1291.13888178]
[ 430.30881085]  [ 1294.747925]
[ 430.9623705]  [ 1296.95421748]
[ 431.9758188]  [ 1299.91740606]
[ 433.11949298]  [ 1303.45484391]
[ 434.12429347]  [ 1306.34912528]
[ 435.2511108]  [ 1309.73973225]
[ 436.29750647]  [ 1312.82506234]
[ 437.13883569]  [ 1315.50538417]
[ 438.06356455]  [ 1318.33850507]
[ 438.86042203]  [ 1320.65327518]
[ 440.25821869]  [ 1324.60550687]
[ 440.97826171]  [ 1326.95289263]
[ 441.76088133]  [ 1329.11987061]
[ 442.69634693]  [ 1332.13694328]
[ 443.85369823]  [ 1335.45561906]
[ 444.77985678]  [ 1338.2383559]
[ 446.18936768]  [ 1342.73444088]
[ 447.47179858]  [ 1346.56036744]
[ 447.88108834]  [ 1347.41338263]
[ 448.83969027]  [ 1350.73752935]
[ 450.01211189]  [ 1354.37442647]
[ 451.119065]  [ 1357.22530165]
[ 451.92349837]  [ 1359.59012152]
[ 452.96497261]  [ 1363.17954902]
[ 453.90647433]  [ 1365.65438442]
[ 454.74540143]  [ 1368.15536012]
[ 456.16230382]  [ 1372.63988039]
[ 457.31901048]  [ 1375.93340971]
[ 458.01444604]  [ 1377.87073674]
[ 458.95859997]  [ 1380.9078657]
[ 459.88634141]  [ 1383.90605864]
[ 461.13129875]  [ 1387.22873032]
[ 462.09776527]  [ 1390.20236991]
[ 462.95060092]  [ 1393.02666329]
[ 464.09076864]  [ 1396.0491256]
[ 465.26664093]  [ 1399.99777723]
[ 465.81450221]  [ 1401.56422303]
[ 466.70420285]  [ 1404.17943564]
[ 467.85474902]  [ 1407.52168222]
[ 469.19927506]  [ 1411.88879217]
[ 470.11728549]  [ 1414.33750514]
[ 471.03138088]  [ 1417.24174012]
[ 471.72933312]  [ 1419.23688792]
[ 472.82318054]  [ 1422.53710513]
[ 474.07351443]  [ 1426.25981851]
[ 474.62352066]  [ 1427.84133659]
[ 476.19701397]  [ 1432.68849667]
[ 477.35075792]  [ 1436.31519932]
[ 478.37283836]  [ 1439.31811955]
[ 479.08410164]  [ 1441.02058519]
[ 479.91101915]  [ 1443.56826416]
[ 481.07065025]  [ 1447.59440627]
[ 482.25679796]  [ 1450.69816471]
[ 482.95365687]  [ 1453.09207741]
[ 483.88697342]  [ 1455.68463187]
[ 484.80757513]  [ 1458.55500845]
[ 486.1083138]  [ 1462.09235708]
[ 486.55699438]  [ 1463.39355972]
[ 488.06093683]  [ 1468.15226299]
[ 488.75391501]  [ 1470.0918165]
[ 490.10358083]  [ 1474.30219714]
[ 490.97239627]  [ 1476.89509543]
[ 491.86477937]  [ 1479.55843594]
[ 492.72354928]  [ 1482.10646574]
[ 493.81959209]  [ 1485.30125424]
[ 495.07031442]  [ 1489.17619286]
[ 495.6502409]  [ 1491.3711573]
[ 497.04243561]  [ 1495.3978305]
[ 498.06030441]  [ 1498.12389341]
[ 499.1505309]  [ 1501.26311772]
[ 499.78908215]  [ 1503.31083611]
[ 500.89137076]  [ 1506.43289989]
[ 501.98934586]  [ 1510.2052242]
[ 502.84120759]  [ 1512.40615228]
[ 503.79310741]  [ 1515.0634266]
[ 504.92485824]  [ 1518.78173083]
[ 506.04081692]  [ 1521.99292624]
[ 506.94742738]  [ 1524.94430384]
[ 507.90515874]  [ 1528.01160277]
[ 508.66820517]  [ 1530.2126473]
[ 510.01531345]  [ 1534.56676862]
[ 510.84917735]  [ 1536.62136707]
[ 512.1453203]  [ 1540.26077507]
[ 513.0871741]  [ 1543.38786244]
[ 514.14145901]  [ 1546.4735369]
[ 515.30386305]  [ 1549.97528593]
[ 516.34257968]  [ 1553.48701474]
[ 516.82475447]  [ 1554.56913455]
[ 517.52222724]  [ 1556.90635434]
[ 518.7427947]  [ 1560.16784604]
[ 520.14543281]  [ 1564.32229202]
[ 520.85573771]  [ 1566.47701566]
[ 522.08342142]  [ 1570.11117756]
[ 523.14359357]  [ 1572.85648245]
[ 524.02027807]  [ 1576.50866183]
[ 525.0685686]  [ 1579.47521913]
[ 525.97593522]  [ 1581.96705116]
[ 526.81119244]  [ 1584.43061652]
[ 528.43982484]  [ 1589.33673266]
[ 529.09305897]  [ 1591.04959161]
[ 529.6763448]  [ 1593.06339107]
[ 530.91405009]  [ 1596.80801534]
[ 531.84630358]  [ 1599.84572721]
[ 533.43868113]  [ 1604.16413826]
[ 534.01148468]  [ 1606.28554604]
[ 534.76594345]  [ 1608.28156988]
[ 535.56665578]  [ 1610.61044414]
[ 536.72213124]  [ 1614.10299894]
[ 537.9934244]  [ 1618.04817677]
[ 539.39861979]  [ 1622.31778503]
[ 539.67625582]  [ 1623.09493201]
[ 540.85458592]  [ 1626.53684365]
[ 542.01728389]  [ 1629.85092332]
[ 542.75630712]  [ 1632.10882125]
[ 544.04785815]  [ 1635.89198172]
[ 544.92543368]  [ 1638.73225458]
[ 546.14432611]  [ 1642.50300124]
[ 546.96476052]  [ 1644.83831812]
[ 547.86881908]  [ 1647.93806031]
[ 549.27828398]  [ 1652.1072627]
[ 550.24909229]  [ 1654.97092742]
[ 551.4571863]  [ 1658.1214886]
[ 551.67907172]  [ 1659.17627192]
[ 553.17522962]  [ 1663.42872076]
[ 554.00615352]  [ 1666.09267028]
[ 555.47222703]  [ 1670.55725887]
[ 555.90548621]  [ 1671.89327932]
[ 556.99167523]  [ 1674.70185901]
[ 558.0048422]  [ 1677.87835691]
[ 559.0957418]  [ 1681.05844109]
[ 559.74886951]  [ 1683.2245844]
[ 560.60038621]  [ 1685.58626798]
[ 562.31390432]  [ 1690.92919163]
[ 563.37250133]  [ 1694.39565592]
[ 564.0227413]  [ 1696.18802063]
[ 565.15756786]  [ 1699.29526653]
[ 565.7957503]  [ 1701.39320245]
[ 566.88079334]  [ 1704.56952848]
[ 568.00403243]  [ 1708.17705849]
[ 569.31267086]  [ 1711.61647216]
[ 570.10219954]  [ 1714.58140151]
[ 570.76336736]  [ 1716.2911111]
[ 571.70268519]  [ 1719.1057474]
[ 573.00148278]  [ 1723.16045168]
[ 573.93890832]  [ 1725.50673121]
[ 574.74706093]  [ 1728.07774519]
[ 575.99048297]  [ 1731.84564991]
[ 577.24256701]  [ 1735.9150854]
[ 577.58648746]  [ 1736.42683065]
[ 579.03664496]  [ 1741.02307469]
[ 579.84514249]  [ 1743.78523312]
[ 581.12675142]  [ 1747.58306712]
[ 582.08847361]  [ 1750.13300514]
[ 582.69380826]  [ 1751.93417734]
[ 583.77002218]  [ 1755.52761034]
[ 584.99310327]  [ 1758.94463421]
[ 585.56824654]  [ 1760.8691012]
[ 586.87870673]  [ 1764.60184769]
[ 587.87162714]  [ 1767.754302]
[ 589.14333305]  [ 1771.37388195]
[ 590.41187493]  [ 1775.39085907]
[ 591.1001762]  [ 1777.68258964]
[ 592.04787713]  [ 1780.02848552]
[ 592.80222771]  [ 1782.60378664]
[ 593.59996033]  [ 1784.97379207]
[ 595.26654474]  [ 1789.6675273]
[ 595.85130677]  [ 1791.71303338]
[ 596.547574]  [ 1793.59459392]
[ 597.85000412]  [ 1797.46141485]
[ 598.9117253]  [ 1800.84398861]
[ 600.35354224]  [ 1805.03125075]
[ 601.01967637]  [ 1807.33041519]
[ 601.83117063]  [ 1809.71820348]
[ 602.89765068]  [ 1812.70889541]
[ 603.94938918]  [ 1815.92547085]
[ 605.37935989]  [ 1819.92753267]
[ 605.81327992]  [ 1821.36219053]
[ 607.13522936]  [ 1825.41976234]
[ 607.98678115]  [ 1827.83783936]
[ 608.82952483]  [ 1830.65195623]
[ 610.1185841]  [ 1834.90619919]
[ 611.0885688]  [ 1837.08863287]
[ 612.13634017]  [ 1840.59261061]
[ 612.87738751]  [ 1842.85284613]
[ 614.16124113]  [ 1846.70218464]
[ 614.99069381]  [ 1849.09775123]
[ 615.98060947]  [ 1852.19646962]
[ 616.93208636]  [ 1854.9610013]
[ 617.92643858]  [ 1857.95907228]
[ 619.41242979]  [ 1861.83471575]
[ 619.95694981]  [ 1864.05023331]
[ 621.11079385]  [ 1867.28863009]
[ 621.76011794]  [ 1869.36849912]
[ 622.76762516]  [ 1872.17267921]
[ 623.99383665]  [ 1876.02409857]
[ 625.05660564]  [ 1879.2426379]
[ 625.91481213]  [ 1881.59881657]
[ 627.22122038]  [ 1885.48744722]
[ 627.5520844]  [ 1886.57515671]
[ 628.96358634]  [ 1891.15977183]
[ 630.12999322]  [ 1894.64831356]
[ 630.89469854]  [ 1896.30800049]
[ 631.80053846]  [ 1899.38288995]
[ 633.1951891]  [ 1903.34697974]
[ 634.10513749]  [ 1906.0919533]
[ 634.95701177]  [ 1908.88361487]
[ 636.0085203]  [ 1911.70458896]
[ 636.94033243]  [ 1914.90796414]
[ 638.19557386]  [ 1918.49654161]
[ 638.83686299]  [ 1920.85601783]
[ 639.88945396]  [ 1923.36540058]
[ 640.78999868]  [ 1926.28911408]
[ 642.17049173]  [ 1930.65414614]
[ 643.04929201]  [ 1933.2656834]
[ 643.72548791]  [ 1935.33144649]
[ 644.93038205]  [ 1938.38349098]
[ 645.75457077]  [ 1941.35441061]
[ 646.69394677]  [ 1944.34899344]
[ 648.03920852]  [ 1947.95074562]
[ 648.91906229]  [ 1950.69239641]
[ 650.0723971]  [ 1953.95872685]
[ 651.18208643]  [ 1957.65879239]
[ 651.88662449]  [ 1959.78135103]
[ 652.98674655]  [ 1963.33529833]
[ 654.13292285]  [ 1966.46122014]
[ 655.22453679]  [ 1969.4428505]
[ 655.76318295]  [ 1971.32052176]
[ 656.95977025]  [ 1974.81025175]
[ 657.96560801]  [ 1977.89157689]
[ 659.25022384]  [ 1982.13022219]
[ 660.2211496]  [ 1984.27322311]
[ 660.84854776]  [ 1986.85603091]
[ 662.0321312]  [ 1990.26262473]
[ 663.16029833]  [ 1993.44908215]
[ 664.0508233]  [ 1996.35591335]
[ 665.12581411]  [ 1999.27281984]
[ 665.94374093]  [ 2001.77018808]
[ 666.89836657]  [ 2004.76009322]
[ 668.21008341]  [ 2008.84563154]
[ 668.78397403]  [ 2010.39946694]
[ 669.86058891]  [ 2013.35178987]
[ 670.90471131]  [ 2016.89816159]
[ 671.95281587]  [ 2019.82666892]
[ 673.08289446]  [ 2023.44001024]
[ 674.18216948]  [ 2026.6852132]
[ 674.82059914]  [ 2028.60114899]
[ 676.10566832]  [ 2032.15508968]
[ 676.96009013]  [ 2035.28535988]
[ 678.32880218]  [ 2039.10604947]
[ 678.86827751]  [ 2040.62587706]
[ 680.10053197]  [ 2044.00348166]
[ 680.92549811]  [ 2046.75194022]
[ 682.0389524]  [ 2050.14480846]
